"company","sum"
"Element",NULL
"2U",NULL
"Mode Global",NULL
"BigBear.ai",NULL
"Medium",NULL
"Firework",NULL
"Talkwalker",NULL
"Zepto",NULL
"NCSoft",NULL
"Lora DiCarlo",NULL
"Reach",NULL
"Side",NULL
"Change.org",NULL
"Flowr",NULL
"Tricida",NULL
"HomeLight",NULL
"OpenSea",NULL
"NCX",NULL
"Carsome",NULL
"Vanta",NULL
"Dispatch",NULL
"Unchained Capital",NULL
"DUX Education",NULL
"Purse",NULL
"Prisma",NULL
"Sayurbox",NULL
"Plus One Robotics",NULL
"PicoBrew",NULL
"SuperRare",NULL
"Rent the Runway",NULL
"Sundae",NULL
"Cedar",NULL
"Prime Trust",NULL
"Match Group",NULL
"Aura Financial",NULL
"Haus",NULL
"ShopX",NULL
"Perceptive Automata",NULL
"Zymergen ",NULL
"Octopus Network",NULL
"Nerdy",NULL
"Voly",NULL
"Kandela",NULL
"Una Brands",NULL
"Butterfly Network",NULL
"Locomation",NULL
"ZenLedger",NULL
"Editas Medicine",NULL
"Jounce Therapeutics",NULL
"Nomad",NULL
"NextRoll",NULL
"Flowhub",NULL
"80 Acres Farms",NULL
"Strava",NULL
"Earth Rides",NULL
"Xendit",NULL
"ShipBob",NULL
"HubHaus",NULL
"SonderMind",NULL
"D2L",NULL
"Elliptic",NULL
"Mr. Yum",NULL
"Zapp",NULL
"Synlogic",NULL
"Fandom",NULL
"MariaDB",NULL
"Dude Solutions",NULL
"OpenText",NULL
"Nyriad",NULL
"TwinStrand",NULL
"Wyre",NULL
"Symend",NULL
"DeHaat",NULL
"GloriFi",NULL
"ActiveCampaign",NULL
"Rigetti Computing",NULL
"Fast",NULL
"Rubica",NULL
"Blue Apron",NULL
"Edmodo",NULL
"Tray.io",NULL
"HackerEarth",NULL
"Zoomo",NULL
"Kite",NULL
"Personalis",NULL
"Improbable",NULL
"BitGo",NULL
"Air",NULL
"Elastic",NULL
"Brightline",NULL
"Bitrise",NULL
"Gavelytics",NULL
"Whispir",NULL
"Springlane",NULL
"Lucid Diagnostics",NULL
"Scoro",NULL
"GoodGood",NULL
"Daraz",NULL
"Mojo Vision",NULL
"GoMechanic",NULL
"Nova Benefits",NULL
"Life360",NULL
"SQZ Biotech",NULL
"Airy Rooms",NULL
"Airlift",NULL
"DriveWealth",NULL
"Gatherly",NULL
"Berkeley Lights",NULL
"PagSeguro",NULL
"Jellyfish",NULL
"LiveRamp",NULL
"Vibrent Health",NULL
"The Modist",NULL
"DailyPay",NULL
"Capsule",NULL
"Qin1",NULL
"LiveVox",NULL
"Circulo Health",NULL
"Homeward",NULL
"Nativo",NULL
"Guidewire",NULL
"Udemy",NULL
"OneStudyTeam",NULL
"Zappos",NULL
"Prosus",NULL
"Poshmark",NULL
"Hipcamp",NULL
"GoNuts",NULL
"Domino Data Lab",NULL
"Messari",NULL
"Migo",NULL
"Awok",NULL
"Modern Treasury",NULL
"SoundCloud",NULL
"Rubicon Technologies",NULL
"WeTrade",NULL
"Atlanta Tech Village",NULL
"Deep Instinct",NULL
"Medly",NULL
"Codexis",NULL
"Ozy Media",NULL
"Kaodim",NULL
"Quibi",NULL
"Kazoo",NULL
"Datera",NULL
"NanoString",NULL
"Bizpay",NULL
"Magnite",NULL
"Fivetran",NULL
"Protego Trust Bank",NULL
"GitHub",NULL
"Eight Sleep",NULL
"Corvus Insurance",NULL
"MessageBird",NULL
"Assure",NULL
"Castlight Health",NULL
"Nextiva",NULL
"YourGrocer",NULL
"98point6",NULL
"Pesto",NULL
"Brodmann17",NULL
"Fipola",NULL
"Madefire",NULL
"Papa",NULL
"Devo",NULL
"Quantum SI",NULL
"Redbubble",NULL
"Volt Bank",NULL
"StyleSeat",NULL
"SendCloud",NULL
"FullStory",NULL
"Boosted Commerce",NULL
"Snapdocs",NULL
"Cabin",NULL
"Ignite",NULL
"BM Technologies",NULL
"Tackle",NULL
"Morning Brew",NULL
"StoryBlocks",NULL
"Dunzo",NULL
"Subspace",NULL
"Yabonza",NULL
"Zhihu",NULL
"Benitago Group",NULL
"Digital Surge",NULL
"Lantern",NULL
"Kandji",NULL
"Sana Benefits",NULL
"Attentive",NULL
"Roofstock",NULL
"SuperLearn",NULL
"Talis Biomedical",NULL
"Arch Oncology",NULL
"Degreed",NULL
"Zuora",NULL
"Lumina Networks",NULL
"Frequency Therapeutics",NULL
"Made.com",NULL
"Pastel",NULL
"Sana",NULL
"Desktop Metal",NULL
"Service",NULL
"Impact.com",NULL
"Domio",NULL
"Plerk",NULL
"Truck It In",NULL
"Milkrun",NULL
"Conga",NULL
"Amber Group",NULL
"Mythical Games",NULL
"Zola",NULL
"Vicarious Surgical",NULL
"Automox",NULL
"Sorabel",NULL
"Vendasta",NULL
"Scale AI",NULL
"Simple",NULL
"CoachHub",NULL
"SADA",NULL
"Bilibili",NULL
"Esper",NULL
"Rebel Foods",NULL
"Aiven",NULL
"Bakkt",NULL
"WhyHotel",NULL
"Mudafy",NULL
"Karbon",NULL
"Ouster",NULL
"Core Scientific",NULL
"Starship",NULL
"Yext",NULL
"SweetEscape",NULL
"OfferUp",NULL
"Volta",NULL
"Wallbox",NULL
"Ignition",NULL
"Nearmap",NULL
"Motif Investing",NULL
"Foresight Insurance",NULL
"Creditas",NULL
"Bally's Interactive",NULL
"Wavely",NULL
"Paddle",NULL
"National Instruments",NULL
"Podium",NULL
"Grove Collaborative",NULL
"Buzzer",NULL
"ByteDance",NULL
"Ziroom",NULL
"Sezzle",NULL
"Citrix",NULL
"Baraja",NULL
"Solarisbank",NULL
"Camp K12",NULL
"Vimeo",NULL
"Juniper Square",NULL
"Automatic",NULL
"Apollo",NULL
"Beamery",NULL
"Limeade",NULL
"Avast",NULL
"OPay",NULL
"Frubana",NULL
"Tesla",NULL
"Turntide",NULL
"PagerDuty",NULL
"Vedanta Biosciences",NULL
"Dance",NULL
"Cyteir Therapeutics",NULL
"Casavo",NULL
"Faze Medicines",NULL
"Popin",NULL
"Apollo Insurance",NULL
"Finder",NULL
"WeFit",NULL
"CircleCI",NULL
"Engine eCommerce",NULL
"Nirvana Money",NULL
"Offerpad",NULL
"Stockwell AI",NULL
"Halcyon Health",NULL
"RedDoorz",NULL
"Lido Learning",NULL
"Le Tote",NULL
"Bitfront",NULL
"CloudFactory",NULL
"Sendoso",NULL
"Kune",NULL
"Qwick",NULL
"MeridianLink",NULL
"Memmo",NULL
"Masse",NULL
"Change Invest",NULL
"PhableCare",NULL
"Clutter",NULL
"Ro",NULL
"5B Solar",NULL
"Pebblepost",NULL
"Peerfit",NULL
"Propzy",NULL
"Flux Systems",NULL
" Included Health",NULL
"Amazon","18150"
"Google","12000"
"Meta","11000"
"Salesforce","10090"
"Microsoft","10000"
"Philips","10000"
"Ericsson","8500"
"Uber","7585"
"Dell","6650"
"Booking.com","4601"
"Cisco","4100"
"Peloton","4084"
"Carvana","4000"
"Byju's","4000"
"Twitter","3940"
"Better.com","3900"
"IBM","3900"
"Groupon","3800"
"Bytedance","3750"
"Katerra","3074"
"SAP","3000"
"Swiggy","2880"
"Ola","2800"
"Wayfair","2620"
"Twilio","2300"
"Gopuff","2300"
"Zillow","2300"
"Crypto.com","2260"
"Coinbase","2110"
"WhiteHat Jr","2100"
"PayPal","2083"
"Airbnb","1930"
"Instacart","1877"
"OYO","1850"
"Lyft","1742"
"Stitch Fix","1730"
"Yahoo","1600"
"Redfin","1568"
"Unacademy","1500"
"Agoda","1500"
"PuduTech","1500"
"PaisaBazaar","1500"
"OLX Group","1500"
"DocuSign","1351"
"Juul","1300"
"Vacasa","1300"
"GoTo Group","1300"
"Stone","1300"
"Zoom","1300"
"Toast","1300"
"Lam Research","1300"
"Loft","1289"
"Snap","1280"
"DoorDash","1250"
"Shutterfly","1160"
"Opendoor","1150"
"Shopify","1150"
"Vedantu","1109"
"OneTrust","1100"
"Kraken","1100"
"Capital One","1100"
"MindBody","1100"
"Compass","1096"
"Doma","1075"
"Yelp","1063"
"Robinhood","1053"
"Stripe","1050"
"Magic Leap","1000"
"Butler Hospitality","1000"
"Invitae","1000"
"Noom","995"
"GoDaddy","981"
"LinkedIn","960"
"NetApp","960"
"Jumia","900"
"Black Shark","900"
"TripAdvisor","900"
"Vroom","882"
"Rivian","880"
"Blend","860"
"Playtika","850"
"WeWork","850"
"Gorillas","840"
"GoHealth","800"
"Arrival","800"
"Loggi","800"
"CureFit","800"
"Klarna","800"
"Flywheel Sports","784"
"Cazoo","750"
"Sonder","750"
"Sema4","750"
"Reef","750"
"Deliveroo","717"
"Intuit","715"
"ShareChat","701"
"Amdocs","700"
"MakeMyTrip","700"
"Cerebral","685"
"Lending Club","685"
"Argo AI","682"
"Deliv","669"
"Meesho","650"
"Misfits Market","649"
"Flexport","640"
"Clear Capital","628"
"Zomato","620"
"HelloFresh","611"
"Bybit","600"
"Cars24","600"
"MFine","600"
"Spotify","600"
"Eventbrite","580"
"Huobi","575"
"Cue","558"
"Delivery Hero","556"
"Infarm","550"
"Bird","544"
"Intel","544"
"Careem","536"
"Udaan","530"
"Workday","525"
"Hootsuite","520"
"Upstart","505"
"Netflix","505"
"Lendingkart","500"
"Jump","500"
"WeDoctor","500"
"Flyhomes","500"
"Avo","500"
"HubSpot","500"
"Affirm","500"
"Thoughtworks","500"
"eBay","500"
"PagBank","500"
"Illumina","500"
"Blackbaud","500"
"Atlassian","500"
"TomTom","500"
"Paytm","500"
"Bounce","490"
"Unity","484"
"SiriusXM","475"
"Wix","470"
"Root Insurance","467"
"Gympass","467"
"The RealReal","465"
"OneWeb","451"
"UiPath","451"
"Livspace","450"
"Carbon Health","450"
"Informatica","450"
"Workrise","450"
"Olive","450"
"Sophos","450"
"Zendesk","430"
"Gojek","430"
"Thumbtack","410"
"Ebanx","402"
"SWVL","400"
"ezCater","400"
"ZipRecruiter","400"
"Pluralsight","400"
"Cvent","400"
"Enjoy","400"
"Alerzo","400"
"Pico Interactive","400"
"AliExpress Russia","400"
"Kry","400"
"Oriente","400"
"Splunk","395"
"Renmoney","391"
"Just Eat Takeaway","390"
"Hopin","380"
"CommerceHub","371"
"Grab","360"
"Velodyne Lidar","360"
"Moladin","360"
"8x8","355"
"iFood","355"
"Sea","350"
"TuSimple","350"
"Toppr","350"
"Meero","350"
"SkipTheDishes","350"
"KeepTruckin","349"
"FarEye","340"
"Sage Therapeutics","340"
"Wish","340"
"Innovaccer","335"
"Latch","335"
"Luno","330"
"Freshly","329"
"Truepill","325"
"Okta","324"
"Fate Therapeutics","315"
"Dropbox","315"
"Bolt","307"
"Nuro","307"
"Ribbon","306"
"Tencent","300"
"Samsara","300"
"iFit","300"
"Color Health","300"
"Trax","300"
"Proterra","300"
"Teladoc Health","300"
"Wildlife Studios","300"
"TripActions","300"
"GoStudent","300"
"Lacework","300"
"Klook","300"
"AppLovin","300"
"Glassdoor","300"
"Cybereason","300"
"WeWork ","300"
"Skyscanner","300"
"StockX","300"
"Sono Motors","300"
"Sojern","300"
"Trell","300"
"Wave","300"
"SEND","300"
"SAP Labs","300"
"Lightspeed Commerce","300"
"New Relic","290"
"Monzo","285"
"Zymergen","280"
"RenoRun","280"
"Neon","280"
"FrontRow","275"
"Nutanix","270"
"DataRobot","270"
"BookMyShow","270"
"Bitpanda","270"
"Qualtrics","270"
"Pollen","269"
"Voi","265"
"Tonal","262"
"Plaid","260"
"Automation Anywhere","260"
"Tier Mobility","260"
"Facily","260"
"Blockchain.com","260"
"Everlane","257"
"Airtable","254"
"Western Digital","251"
"Houzz","250"
"Swappie","250"
"BlockFi","250"
"OLX India","250"
"Big Fish Games","250"
"Verily","250"
"B8ta","250"
"Stoqo","250"
"Autodesk","250"
"HOOQ","250"
"Glovo","250"
"Magicbricks","250"
"Mozilla","250"
"TravelTriangle","250"
"Glossier","249"
"QuintoAndar","248"
"Pegasystems","245"
"SoundHound","245"
"ThredUp","243"
"Beyond Meat","240"
"NS8","240"
"Inspirato","239"
"TaskUs","238"
"Motive","237"
"Recur Forever","235"
"Embark Trucks","230"
"Rupeek","230"
"Snyk","228"
"Hotmart","227"
"Clutch","226"
"iRobot","225"
"AvantStay","224"
"LivePerson","223"
"Electric","222"
"Stay Alfred","221"
"ServiceTitan","221"
"Confluent","221"
"Bizzabo","220"
"Zoox","220"
"Ritual","219"
"TrueCar","219"
"Zeus Living","217"
"Kitopi","217"
"Article","216"
"Olive AI","215"
"SecureWorks","212"
"OneFootball","212"
"Intercom","212"
"Twiga","211"
"Oda","210"
"AdRoll","210"
"Waymo","209"
"Jellysmack","208"
"Britishvolt","206"
"Meow Wolf","201"
"Booksy","200"
"Smava","200"
"MX","200"
"Fareportal","200"
"VTEX","200"
"DigitalOcean","200"
"Planetly","200"
"PayFit","200"
"MediBuddy","200"
"Software AG","200"
"MyGate","200"
"EverBridge","200"
"Synamedia","200"
"Oracle","200"
"Electronic Arts","200"
"Roku","200"
"JD.ID","200"
"Wayflyer","200"
"Shop101","200"
"Daniel Wellington","200"
"StubHub","200"
"LendingTree","200"
"GoPro","200"
"Ninjacart","200"
"Zenius","200"
"BlackBuck","200"
"Zume","200"
"CarDekho","200"
"Flymya","200"
"Yellow.ai","200"
"Merative","200"
"Hirect","200"
"Jam City","200"
"MasterClass","199"
"Brex","198"
"Glints","198"
"Rover","194"
"CityMall","191"
"ConsenSys","191"
"Integral Ad Science","190"
"2TM","190"
"Dock","190"
"McMakler","190"
"Clear","190"
"Clearco","185"
"BigCommerce","180"
"Konfio","180"
"Momentive","180"
"Xiaohongshu","180"
"Asana","180"
"BuzzFeed","180"
"Furlenco","180"
"Procore","180"
"Orchard","180"
"Postmates","180"
"Bitso","180"
"Zscaler","177"
"Thinkific","176"
"Alice","176"
"Weedmaps","175"
"Restaurant365","175"
"Pipedrive","174"
"Sonos","174"
"Socure","173"
"PolicyGenius","170"
"Kitty Hawk","170"
"Notarize","170"
"Favo","170"
"Crejo.Fun","170"
"OwnBackup","170"
"Vox Media","169"
"Gemini","168"
"Cameo","167"
"MaxMilhas","167"
"Fundbox","164"
"Swyftx","164"
"Rad Power Bikes","163"
"Carta","161"
"Metromile","160"
"Unico","160"
"SIRCLO","160"
"Hubilo","160"
"Buser","160"
"Rubius","160"
"Kayak / OpenTable","160"
"Wealthsimple","159"
"Homie","159"
"Happy Money","158"
"Chime","156"
"Calibrate","156"
"Oportun","155"
"ClassPass","154"
"Bridge Connector","154"
"Qualcomm","153"
"Patreon","151"
"Sprinklr","150"
"Next Insurance","150"
"Weee!","150"
"Simple Feast","150"
"Celsius","150"
"Relativity","150"
"Zwift","150"
"Chipper Cash","150"
"Convene","150"
"Uber Freight","150"
"Lummo","150"
"Salsify","150"
"Cruise","150"
"Pleo","150"
"6sense","150"
"Domestika","150"
"Curology","150"
"PayU","150"
"Instructure","150"
"Sinch","150"
"Fraazo","150"
"Kavak","150"
"Share Now","150"
"Pinterest","150"
"VerSe Innovation","150"
"Lido","150"
"HealthifyMe","150"
"Healthcare.com","149"
"Leafly","147"
"Minted","147"
"Knotel","147"
"IronNet","145"
"On Deck","145"
"Chrono24","145"
"Zilingo","144"
"Exotel","142"
"Chargebee","142"
"WanderJaunt","141"
"Pagaya","140"
"Reali","140"
"Bizongo","140"
"Callisto Media","140"
"DraftKings","140"
"GoodRx","140"
"LEAD","140"
"ContaAzul","140"
"ChowNow","140"
"Yojak","140"
"Impossible Foods copy","140"
"Bonterra ","140"
"Foodpanda","140"
"Packable","138"
"SSense","138"
"Bluprint","137"
"Benevity","137"
"Omie","136"
"Andela","135"
"Dapper Labs","134"
"Ula","134"
"TouchBistro","131"
"Takl","130"
"Quanterix","130"
"AppGate","130"
"GitLab","130"
"CarGurus","130"
"Validity","130"
"ID.me","130"
"Liftoff","130"
"SirionLabs","130"
"Guardant Health","130"
"Blueground","130"
"Outreach","130"
"Amount","130"
"Wonder","130"
"Evernote","129"
"Veriff","129"
"Mindstrong","127"
"Gusto","126"
"Bark","126"
"PeerStreet","126"
"Westwing","125"
"Malwarebytes","125"
"EasyPost","125"
"NCC Group","125"
"Tipalti","123"
"TripleLift","123"
"Cyren","121"
"Curefit","120"
"ScaleFocus","120"
"Till Payments","120"
"Soluto","120"
"SimilarWeb","120"
"Khoros","120"
"Breather","120"
"SmartNews","120"
"Captain Fresh ","120"
"Greenhouse Software","120"
"Trustly","120"
"Deliveroo Australia","120"
"BioMarin","120"
"UpGrad","120"
"Fabric","120"
"RigUp","120"
"Miro","119"
